UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,UMAP11,UMAP12,UMAP13,UMAP14,UMAP15,UMAP16,UMAP17,UMAP18,UMAP19,UMAP20,Spectral_Cluster
13.044344,10.758992,4.2993402,6.4525385,4.473459,6.0148816,5.3301544,5.876545,5.014337,4.66555,6.262364,4.662397,4.9592,6.291241,1.9355788,1.9405843,4.4044666,3.817623,1.044927,2.7948065,0
12.796163,11.062819,4.3048444,6.981329,4.765934,5.360682,5.39894,4.5598907,3.1676779,5.0930185,6.499689,4.2207546,4.531321,5.8702397,1.8345256,1.6402814,4.8438687,3.915918,1.1604673,3.2786112,3
13.074598,10.829733,4.337857,6.4226847,4.5035763,5.9761286,5.317927,5.869507,4.9917774,4.6613307,6.235278,4.685154,4.956694,6.2698717,1.9442812,1.9521952,4.387092,3.811744,1.0791612,2.7958193,0
13.12367,10.672063,4.3325486,6.510571,4.579453,5.6907225,5.347566,5.698466,4.5102606,4.686782,6.1684704,4.8927994,4.8874764,6.0685067,1.77009,1.7968693,4.434474,3.8077176,1.0193744,2.5655081,0
-4.8223915,4.403485,3.3787696,1.7438712,5.7865934,5.177172,3.2576902,6.006106,5.535817,3.833723,8.360257,1.6168926,7.377511,8.744334,5.333966,4.2154217,3.6046925,1.6782715,4.3964143,4.7202406,2
-4.803468,4.280233,3.2399948,1.9466101,5.4866557,5.4215226,3.4622147,5.6959825,5.484052,4.0552273,8.146521,1.4405566,7.290661,8.64136,5.6355486,4.2714963,3.3942907,1.5692942,4.4805903,4.7222486,2
12.910358,10.419924,4.4259977,6.634469,4.854854,5.120558,5.42659,4.68258,3.1135888,5.0155573,6.2158594,4.602452,4.701766,5.762995,1.8407997,1.7445061,4.79375,4.000945,1.4835851,2.971568,3
-4.528154,4.2560835,3.1527648,2.1915903,5.306951,5.4329343,3.3807893,5.540591,5.259486,4.215577,7.67424,1.6001298,7.4399953,8.270581,5.7829375,4.249254,3.493724,2.1046643,4.494,5.054723,2
12.961018,10.746916,4.6246557,5.5798497,4.619367,6.0497317,5.3655457,5.880357,5.324424,4.760729,6.2263074,4.4490933,5.432834,6.3121324,2.624822,2.7085557,4.431205,3.977854,2.312753,3.4115815,0
12.796416,8.169053,4.2571507,5.939516,4.9780045,5.1229124,5.0441837,5.4768224,4.1332893,4.8435035,6.4145494,5.1917443,4.7174087,5.5921946,2.2069514,2.231455,4.875444,4.6663375,1.8890178,3.0781322,4
