UMAP1,UMAP2,UMAP3,UMAP4,UMAP5,UMAP6,UMAP7,UMAP8,UMAP9,UMAP10,UMAP11,UMAP12,UMAP13,UMAP14,UMAP15,UMAP16,UMAP17,UMAP18,UMAP19,UMAP20
12.701968,12.708577,5.084048,3.2445977,5.798746,5.88063,5.9874077,7.014525,3.3820088,3.4330847,6.969922,4.069274,3.6073601,2.861838,3.0672328,3.2352347,6.1415887,4.850542,-0.55611825,1.3569753
12.907857,13.231298,5.039801,3.3091605,5.7047606,5.3027735,6.361057,5.783299,1.5696621,3.8994744,6.7259903,3.779719,3.8123283,2.427153,2.8620775,2.718628,6.6430063,4.278361,-0.042692028,1.6976959
12.738235,12.733431,5.09634,3.201194,5.814496,5.8726325,5.986259,6.976504,3.3316014,3.4263833,6.994904,4.0947924,3.629088,2.8177269,3.0944412,3.2662537,6.165858,4.8264623,-0.4714314,1.3960674
12.823728,12.64667,5.1633782,2.975456,5.8990293,5.6905847,6.1040726,6.9053493,2.9058363,3.4432547,6.9219766,4.2918143,3.57291,2.5132058,3.0700965,3.1897821,6.3241253,4.9268775,-0.45963946,1.2858912
-4.0156903,5.8375826,4.976596,6.629065,4.195006,3.0559883,-0.9413185,5.6556454,7.461301,4.7617455,6.686311,3.0838606,8.416818,8.588294,5.983298,4.5288944,3.3741088,3.3585405,4.7696867,5.294765
-3.8836088,5.6060386,5.167203,6.516637,4.2366896,3.023503,-0.7542615,5.8099723,7.303984,4.8059435,6.863297,2.8138456,8.124176,8.576934,6.0184746,4.4936686,3.287752,3.2495563,4.6094775,5.758005
13.039513,12.577766,5.158844,2.914487,5.8215027,5.189325,6.35135,5.9129105,1.6373847,3.8433447,6.6833677,4.2497077,3.8538578,2.3238132,2.9452384,2.8403735,6.650216,4.593838,0.33848268,1.705808
-3.9723659,5.547844,5.069668,6.1569467,4.275237,3.3527682,-0.3463726,5.528687,6.836538,4.8017235,6.9257703,2.6244528,8.103053,8.22748,5.7907057,4.4488273,3.3009446,3.1716409,4.7277217,5.985646
12.838757,12.340716,5.037509,3.196519,5.606728,6.0798726,5.784576,6.8355827,4.141997,3.6149805,7.053496,4.118506,4.2419033,3.4692273,3.471932,3.6488316,5.7915893,4.577848,0.7404312,2.190218
12.493049,10.095485,4.9694715,3.3091693,5.9298973,5.3130927,5.915797,6.1232386,2.148771,3.5104444,6.82642,4.5838323,3.5311491,3.1420794,2.9799504,3.2261348,6.4855604,5.507224,0.5965083,1.925731
12.437931,11.644568,4.972157,3.432273,5.9484277,5.7383504,5.902797,6.774808,2.6541367,3.2555802,7.0760074,4.190286,3.2911096,2.826981,3.0539136,3.3370202,6.4286833,5.279529,-0.5823672,1.4221382
12.456651,8.51579,4.953371,3.2477682,5.913483,4.9862156,5.899845,5.6604457,1.858412,3.7030656,6.600875,4.958967,3.7034025,3.5139024,2.9366438,3.160696,6.488867,5.8197427,1.539113,2.3268666
12.845732,12.558565,5.037664,3.171241,5.862805,5.554742,6.093446,6.155486,1.9689938,3.5436049,7.0666075,4.0615854,3.7230773,2.4918873,3.185674,3.2902312,6.6099954,4.6564856,0.14255248,1.8417239
12.775565,13.020547,4.946251,3.5582893,5.683611,5.5386705,6.1335397,5.8767385,1.9728329,3.748145,6.9406343,3.6442838,3.7952027,2.7621555,2.9593918,2.9718351,6.524339,4.306411,0.009563359,1.8909924
-4.0158195,5.726949,4.983143,6.4095697,4.2616615,3.2272372,-0.6421157,5.4870863,7.1461077,4.751952,6.7441382,2.9438035,8.364513,8.391092,5.847241,4.4496584,3.3895535,3.2638633,4.854693,5.4720254
12.806025,12.699156,5.19296,2.9062672,5.766576,5.845411,6.143013,7.2964573,3.5386686,3.5342894,6.790726,4.3178043,3.7691605,2.685486,3.2194748,3.2542875,6.0961337,4.9612794,-0.5203304,1.2573793
-4.0874143,5.6684694,4.986625,6.2599616,4.267957,3.3550885,-0.50158715,5.4787064,6.9841557,4.756475,6.853266,2.836955,8.286087,8.338147,5.7870674,4.4568224,3.3010066,3.2166462,4.8166823,5.714894
12.891731,13.217283,4.9450674,3.5322373,5.7798715,5.4901834,6.0660653,5.573049,1.516815,3.64312,7.160674,3.6178153,3.7488673,2.564433,2.976442,3.0875967,6.720164,4.1533384,0.22199455,2.0527184
12.544455,9.73579,4.9485044,3.2999907,5.838966,5.3312044,5.844645,5.967759,2.4338198,3.63187,6.7975965,4.6344557,3.810637,3.4594834,3.0953655,3.3341515,6.3366504,5.426857,1.2268957,2.2983696
12.717105,12.348807,4.9421296,3.448039,5.7942853,5.6614366,5.958765,6.0894184,2.1959753,3.5287652,7.1336393,3.894566,3.739198,2.8363168,3.1724477,3.3483121,6.5053453,4.625388,0.22059196,2.0127175
12.862247,12.747536,5.1455345,3.0065372,5.93634,5.5492334,6.155457,6.578705,2.3300884,3.4680915,6.9499593,4.2250576,3.5238361,2.3367484,3.006118,3.1089141,6.52039,4.829712,-0.39680874,1.3446691
12.380402,9.263577,4.8887444,3.4690964,5.8423996,5.2783256,5.8021903,5.967543,2.3927794,3.607227,6.7397046,4.6521487,3.6713417,3.6082582,2.9836926,3.250486,6.3444624,5.62679,1.1121601,2.2448366
12.833622,12.5602455,4.9893975,3.3390305,5.8785324,5.337846,6.145554,5.682833,1.264084,3.6085289,7.042228,3.927933,3.6208344,2.3986444,2.9807222,3.064556,6.825848,4.542292,0.16357464,1.889111
12.860595,12.419655,5.167906,2.9297483,5.8514314,5.396313,6.2933435,6.5295644,2.2966664,3.6769578,6.6777267,4.330957,3.659498,2.412781,2.9634728,2.9202454,6.469637,4.912807,-0.24649732,1.3451998
13.145982,12.933786,5.1237197,2.995517,5.853399,5.0958667,6.342885,5.4148893,0.9706446,3.8463228,6.8506613,4.080553,3.8682892,2.1454864,2.9327695,2.8536046,6.877843,4.296956,0.594879,1.9438428
12.663048,12.66638,5.0294714,3.3651195,5.710147,5.790725,6.061824,6.7607255,3.0849123,3.586748,6.868049,3.9465878,3.7086399,2.923522,3.055731,3.1270201,6.194323,4.7515697,-0.4314524,1.5018587
12.4483385,9.087962,4.9396257,3.3070242,5.898266,5.161595,5.8643565,5.8802376,2.142066,3.6229043,6.7003098,4.7995124,3.666223,3.4647958,2.9784334,3.226914,6.4320393,5.698548,1.2294085,2.220694
12.454128,8.607382,4.9420185,3.2741575,5.8934565,5.029895,5.8838887,5.694157,1.9386454,3.700501,6.61417,4.9144998,3.7218044,3.5402565,2.9489667,3.1761923,6.4542255,5.7813497,1.5169436,2.3364704
12.810252,12.325578,5.193109,2.8743567,5.8203425,5.615953,6.2057996,6.9979343,3.0754483,3.6038392,6.6880774,4.430423,3.710171,2.6135495,3.0852332,3.0833027,6.2189507,5.0449533,-0.34593365,1.2690763
12.571029,9.9297285,4.9225607,3.3613062,5.800402,5.400378,5.8065476,5.8895264,2.4808755,3.645309,6.8690734,4.521737,3.8972611,3.521093,3.1556861,3.4033012,6.310709,5.275118,1.3398954,2.435799
-3.9659364,5.6357503,5.08563,6.5950246,4.227421,3.1443765,-0.72723645,5.7582355,7.310292,4.75839,6.885976,3.0644577,8.243077,8.702985,5.894561,4.518899,3.2054994,3.2497804,4.695288,5.5585413
13.005287,12.783946,5.1024184,3.1017258,5.6943254,5.430692,6.2130723,6.0286884,2.2821112,3.8565593,6.765403,4.0438457,4.019421,2.7052042,3.0272348,2.9717607,6.4015865,4.4095917,0.45618796,1.8939762
12.8817,12.968931,4.972275,3.3834608,5.775556,5.625751,6.0231047,5.886539,1.9778345,3.6033642,7.1694117,3.7845335,3.852517,2.659697,3.1798294,3.3005815,6.5755386,4.310845,0.3492616,2.096028
12.778254,12.177524,5.0100875,3.2300217,5.6036224,6.189071,5.7000594,6.968948,4.408175,3.5500693,7.1126785,4.144176,4.244929,3.6162393,3.5548882,3.7792802,5.7019806,4.6542478,0.78387576,2.245421
12.846317,12.306652,4.988086,3.267029,5.619844,6.110908,5.713571,6.6229534,3.9461288,3.577031,7.2074604,4.0518517,4.29453,3.4969232,3.5806842,3.810613,5.867718,4.4803534,1.0153518,2.4510827
12.415475,11.608883,4.9504066,3.4907131,5.9377112,5.7642236,5.867718,6.752348,2.692208,3.244606,7.1048923,4.1471066,3.2910056,2.8964021,3.051411,3.3585832,6.41184,5.26532,-0.55900294,1.4659184
12.811333,12.345653,4.952982,3.3610318,5.621077,6.081171,5.708971,6.5188265,3.7486455,3.5702403,7.226867,3.9640849,4.2328663,3.4815142,3.5319507,3.7691057,5.9351354,4.462332,0.93521696,2.447163
12.756503,12.379345,5.0091844,3.2946298,5.8482437,5.429481,6.152549,6.040806,1.7226616,3.601394,6.9444623,4.0148096,3.614474,2.5105314,3.0133543,3.0772057,6.66909,4.730021,-0.0446603,1.7275816
12.589507,9.719637,5.0235553,3.1376367,5.895785,5.1003428,6.022323,5.9447327,2.0229914,3.695001,6.611906,4.7775908,3.6834314,3.1628723,2.9261832,3.0690095,6.4820786,5.5479226,0.9836753,2.0100935
12.751303,13.031177,4.9716516,3.5284088,5.373515,6.25909,5.8042088,6.9503174,4.7395487,3.8099806,6.931666,3.7066855,4.425938,3.8338816,3.41012,3.4565444,5.502134,4.185141,0.5674322,2.2141664
12.550552,11.831994,4.9293327,3.4953942,5.933895,5.4998064,5.9944696,6.102241,1.7298434,3.4019969,7.0934796,4.0300927,3.3784642,2.6449103,2.996389,3.2116337,6.704964,4.9825244,-0.204317,1.7096497
12.843252,13.010944,5.060043,3.286453,5.6689844,5.324192,6.387627,6.0280147,1.9170333,3.934063,6.5869956,3.863761,3.8105187,2.5452259,2.8280199,2.647326,6.51197,4.439474,-0.19156978,1.5507407
-3.8882492,5.784317,4.9756866,6.4443593,4.133021,3.0946772,-0.97250485,5.93477,7.5357666,4.824875,6.725266,2.7958677,8.064913,8.639812,6.2158065,4.651323,3.1658978,3.489685,4.503895,5.8759527
12.608631,12.322602,5.0701256,3.2647526,5.859752,5.7674484,6.016995,6.9693584,3.0783243,3.3975003,6.9213014,4.1578355,3.4509668,2.785965,2.9901333,3.1621428,6.254957,5.059492,-0.6898465,1.2504332
12.779949,12.140966,4.971399,3.316755,5.5616183,6.179323,5.656945,6.819272,4.3038487,3.5876808,7.1411653,4.043916,4.296801,3.6867154,3.5479627,3.7915978,5.7144685,4.5887513,0.8866696,2.359163
13.018287,13.292532,5.1554537,3.085817,5.5385404,5.371162,6.4552836,6.216533,2.5838616,4.1284976,6.399806,3.939358,4.1299367,2.714173,2.866718,2.5791533,6.231968,4.268902,0.08085154,1.5838723
12.703988,12.300638,5.0365553,3.2178383,5.898169,5.8444734,5.8999987,6.737913,2.8611128,3.31709,7.184201,4.146238,3.5936327,2.7556672,3.2504818,3.514472,6.355558,4.92798,-0.16829234,1.6634895
12.9771185,12.829578,5.1275387,3.0149071,5.7758217,5.4251237,6.2614055,6.175588,2.1265607,3.7673614,6.7902646,4.123894,3.878766,2.4684312,3.0563006,2.9998028,6.498957,4.5357347,0.17479026,1.706493
13.005732,13.214625,5.012117,3.3289554,5.8371687,5.2629294,6.2082334,5.386555,1.0200561,3.721758,7.0477457,3.7682986,3.7341204,2.2818656,2.8962977,2.92186,6.8818603,4.1708136,0.30380604,1.974533
12.968469,11.767307,5.1092343,2.9911673,5.8590527,5.09686,6.2415895,5.6660247,1.4630077,3.811618,6.7239127,4.374743,3.834565,2.5262883,2.9305906,2.9186437,6.692667,4.764072,0.74865186,1.9434626
13.056496,12.977718,5.163287,2.918076,5.745835,5.244989,6.430769,5.989538,1.7653526,3.934543,6.6172147,4.1376925,3.9472141,2.3000655,2.9865086,2.7913446,6.587128,4.449005,0.22883174,1.6659689
12.711685,12.72312,5.0963573,3.2257102,5.7798905,5.8691707,6.0098553,7.0381026,3.4485915,3.4688947,6.919695,4.082221,3.6343966,2.8808405,3.0477567,3.190806,6.107636,4.8444057,-0.5560715,1.3317342
12.779089,12.129185,4.9666367,3.3241484,5.5562778,6.1842113,5.6485643,6.810982,4.3108835,3.5900238,7.1464844,4.0371957,4.3068357,3.7020056,3.5549967,3.8015418,5.7096653,4.584142,0.90740013,2.377545
-4.1856627,5.8171725,5.08801,6.4700117,4.201385,2.9840164,-1.0914011,5.8456535,7.509839,4.7999606,6.839394,2.765001,8.263162,8.579645,6.158547,4.5346766,3.2735844,3.3225152,4.5562663,5.754314
12.535223,10.560189,4.967354,3.3342009,5.869636,5.4300146,5.9153976,6.202427,2.3724213,3.5346413,6.8626947,4.4457912,3.6248336,3.1591046,3.0419466,3.2621908,6.409524,5.322641,0.5344779,1.9499336
